"Date","Price","Open","High","Low","Vol.","Change %"
"09/24/2024","1.1180","1.1113","1.1181","1.1102","","0.61%"
"09/23/2024","1.1112","1.1163","1.1168","1.1083","","-0.45%"
"09/20/2024","1.1162","1.1162","1.1183","1.1136","","0.01%"
"09/19/2024","1.1161","1.1119","1.1179","1.1068","","0.39%"
"09/18/2024","1.1118","1.1114","1.1190","1.1096","","0.04%"
"09/17/2024","1.1113","1.1133","1.1147","1.1111","","-0.17%"
"09/16/2024","1.1132","1.1078","1.1137","1.1074","","0.51%"
"09/13/2024","1.1076","1.1073","1.1102","1.1070","","0.02%"
"09/12/2024","1.1074","1.1012","1.1075","1.1005","","0.57%"
"09/11/2024","1.1011","1.1019","1.1055","1.1002","","-0.07%"
"09/10/2024","1.1019","1.1035","1.1050","1.1015","","-0.14%"
"09/09/2024","1.1034","1.1082","1.1092","1.1034","","-0.44%"
"09/06/2024","1.1083","1.1110","1.1156","1.1065","","-0.24%"
"09/05/2024","1.1110","1.1082","1.1120","1.1075","","0.25%"
"09/04/2024","1.1082","1.1043","1.1094","1.1038","","0.35%"
"09/03/2024","1.1043","1.1069","1.1073","1.1026","","-0.25%"
"09/02/2024","1.1071","1.1047","1.1078","1.1042","","0.22%"
"08/30/2024","1.1047","1.1077","1.1095","1.1044","","-0.27%"
"08/29/2024","1.1077","1.1119","1.1141","1.1055","","-0.39%"
"08/28/2024","1.1120","1.1184","1.1186","1.1105","","-0.57%"
"08/27/2024","1.1184","1.1161","1.1191","1.1150","","0.21%"
"08/26/2024","1.1161","1.1188","1.1202","1.1150","","-0.26%"
"08/23/2024","1.1190","1.1113","1.1200","1.1105","","0.70%"
"08/22/2024","1.1112","1.1150","1.1165","1.1097","","-0.34%"
"08/21/2024","1.1150","1.1128","1.1173","1.1099","","0.18%"
"08/20/2024","1.1130","1.1085","1.1130","1.1071","","0.41%"
"08/19/2024","1.1085","1.1024","1.1086","1.1022","","0.52%"
"08/16/2024","1.1028","1.0972","1.1030","1.0970","","0.52%"
"08/15/2024","1.0971","1.1012","1.1016","1.0949","","-0.37%"
"08/14/2024","1.1012","1.0992","1.1048","1.0984","","0.18%"
"08/13/2024","1.0992","1.0932","1.0999","1.0913","","0.56%"
"08/12/2024","1.0931","1.0915","1.0940","1.0911","","0.14%"
"08/09/2024","1.0916","1.0919","1.0932","1.0909","","-0.02%"
"08/08/2024","1.0918","1.0922","1.0946","1.0882","","-0.03%"
"08/07/2024","1.0921","1.0928","1.0936","1.0905","","-0.08%"
"08/06/2024","1.0930","1.0953","1.0964","1.0903","","-0.20%"
"08/05/2024","1.0952","1.0922","1.1008","1.0892","","0.40%"
"08/02/2024","1.0908","1.0789","1.0927","1.0782","","1.08%"
"08/01/2024","1.0791","1.0826","1.0836","1.0776","","-0.31%"
"07/31/2024","1.0825","1.0816","1.0850","1.0802","","0.09%"
"07/30/2024","1.0815","1.0821","1.0837","1.0797","","-0.04%"
"07/29/2024","1.0819","1.0864","1.0870","1.0803","","-0.35%"
"07/26/2024","1.0857","1.0847","1.0869","1.0841","","0.12%"
"07/25/2024","1.0844","1.0840","1.0870","1.0827","","0.05%"
"07/24/2024","1.0839","1.0854","1.0868","1.0826","","-0.11%"
"07/23/2024","1.0851","1.0892","1.0898","1.0843","","-0.35%"
"07/22/2024","1.0889","1.0881","1.0904","1.0872","","0.11%"
"07/19/2024","1.0877","1.0901","1.0903","1.0876","","-0.17%"
"07/18/2024","1.0896","1.0938","1.0941","1.0893","","-0.37%"
"07/17/2024","1.0937","1.0899","1.0948","1.0895","","0.37%"
"07/16/2024","1.0897","1.0895","1.0906","1.0871","","0.03%"
"07/15/2024","1.0894","1.0887","1.0923","1.0883","","-0.11%"
"07/12/2024","1.0906","1.0866","1.0912","1.0861","","0.38%"
"07/11/2024","1.0865","1.0831","1.0901","1.0826","","0.32%"
"07/10/2024","1.0830","1.0813","1.0832","1.0811","","0.17%"
