Data,Último,Abertura,Máxima,Mínima,Vol.,Var%,Média movel curta,Média movel longa,Sinal,EMA10,EMA30,EMA200,ROC10,ROC30,MOM10,MOM30,RSI10,RSI30,RSI200,%K10,%D10,%K30,%D30,%K200,%D200,simple_rtn,log_rtn
2025-02-13,96610.2,97874.7,98079.6,95295.4,"66,76K","-1,30%",96690.64,89823.56000000001,1.0,95719.39330051243,91593.55975203529,,0.05602960351546019,15.043505908158284,351.3999999999942,12268.899999999994,61.01803699646864,57.02047240238214,,52.83031301482707,65.641272877156,87.44006702842128,90.15629729385911,,,-0.009172900560589059,-0.009215230671718212
2025-02-12,97881.3,95777.2,98095.8,94110.7,"87,21K","2,20%",96823.16,90287.03333333334,1.0,96112.46809645108,92004.60621892166,,1.7946952647583676,20.691810870996626,1325.199999999997,13904.199999999997,64.2531859438578,57.98619187746719,,73.77100494233952,64.72213069741913,93.0159718901752,90.60651655458712,,,0.01315699584515917,0.013071194349194216
2025-02-11,95771.7,97434.7,98476.5,94902.7,"69,89K","-1,71%",96784.77,90776.08333333333,1.0,96050.51015103806,92250.66049718189,,-2.5822319736589208,14.471405366446612,-383.90000000000873,14671.5,55.724967975177776,55.832325656476876,,43.74480503888138,56.78204099868267,83.76183854397425,88.07262582085691,,,-0.02155263569241528,-0.0217882858181181
2025-02-10,97434.7,96469.2,98311.6,95307.7,"71,43K","1,00%",96697.20999999999,91235.09666666666,1.0,96302.18139722987,92588.99417514446,,0.8173228150919596,17.502903362352875,-875.6000000000058,13770.399999999994,60.33611051555299,57.1308624874942,,74.46203291527358,63.992614298831505,91.05688203787457,89.278230824008,,,0.01736421093078655,0.01721517579820828
2025-02-09,96469.2,96448.4,97297.8,94750.4,"48,38K","0,02%",96679.65,91686.7,1.0,96332.54845190607,92842.044445029,,0.8691106045714017,22.77199497555867,-175.60000000000582,13548.099999999991,56.537671968266146,56.13956934305408,,56.62830861301461,58.278382189056536,86.34013704422792,87.05295254202558,,,-0.009909200726230027,-0.009958623621045316
2025-02-08,96447.9,96513.5,96862.8,95716.1,"38,99K","-0,07%",96760.64,92282.43333333333,1.0,96353.52148098798,93077.0383841546,,0.6959604849798356,19.526567821185832,809.8999999999942,17872.0,56.45055939158368,56.117347553020515,,49.657927166107044,60.24942289813174,85.69070546169999,87.69590818126748,,,-0.00022079586023315834,-0.00022082023922769315
2025-02-07,96513.5,96564.8,100133.9,95693.7,"97,60K","-0,06%",96833.86,92809.83,1.0,96382.60850752213,93300.84654234101,,0.39674572801384156,11.936178627471683,732.1999999999971,15821.899999999994,56.67897375006064,56.172619272091396,,39.892415991499604,48.72621725687376,83.3957833618448,85.1422086225909,,,0.0006801599620105403,0.000679928758054755
2025-02-06,96568.8,96606.3,99119.2,95706.6,"76,92K","-0,03%",96877.53,93154.72666666665,1.0,96416.46152812979,93513.5501441712,,-1.0295838824925556,11.599977811471476,436.6999999999971,10346.900000000009,56.89075621902998,56.22070579851409,,40.81053260725208,43.45362525495292,83.64940538706026,84.24529807020168,,,0.000572976837437178,0.0005728127488853593
2025-02-05,96595.3,97784.8,99028.3,96163.8,"82,92K","-1,23%",96779.72,93490.19666666667,1.0,96448.97763119411,93714.01959604648,,-0.9325713863756201,7.410578566432682,-978.0999999999913,10064.100000000006,57.00267704867989,56.24450456759414,,41.250498074113544,40.65114889095508,83.77094216225393,83.60537697038633,,,0.0002744157533280944,0.0002743781082120416
2025-02-04,97793.4,101339.7,101692.9,96190.5,"117,35K","-3,50%",96808.6,93752.28,1.0,96693.41816810709,93979.24370552535,,1.2247154027214486,7.925797661891343,288.79999999998836,7862.5,61.963419375674015,57.32939283601152,,48.57033578644718,43.54378882260428,83.30914989877198,83.57649914936206,,,0.012403294984331348,0.01232700431049273
